freq,wst_oper,stk_flow,unit,geo\TIME_PERIOD	2010 	2012 	2014 	2016 	2018 	2020 
A,TRT,FLOW_GRS,T,RO	21446877 	22538877 	19848602 	19737618 	18944271 	15997797 
A,TRT,FLOW_GRS,T,SE	14561913 	15392336 	16613311 	18268902 	18702252 	17522900 
A,TRT,FLOW_GRS,T,SI	3088101 	3436685 	2796587 	2617908 	2854430 	2553931 
A,TRT,FLOW_GRS,T,SK	5287639 	5573764 	4958494 	6470144 	6354930 	6438376 
A,TRT,FLOW_GRS,T,UK	72139777 	68648264 	65719038 	67830080 	69935084 	: 
A,TRT,FLOW_NET,T,AT	10026206 	11971906 	12584133 	14495651 	13160862 	13229275 
A,TRT,FLOW_NET,T,BE	29712830 	37088636 	38387909 	38801957 	44341474 	42315960 
A,TRT,FLOW_NET,T,BG	8239206 	16725259 	16793525 	14701881 	15014665 	: 
A,TRT,FLOW_NET,T,CY	1023341 	795357 	717197 	740196 	836502 	809350 
A,TRT,FLOW_NET,T,CZ	11983293 	11897221 	12127940 	12505480 	13337316 b	12330467 
A,TRT,FLOW_NET,T,DE	133678996 s	137499357 s	144751615 s	147205583 s	145658842 s	139724051 s
A,TRT,FLOW_NET,T,DK	8121448 	8854936 	8005213 	8373027 	8572522 	8181596 
A,TRT,FLOW_NET,T,EE	11149537 	10805105 	11678596 	11212514 	: 	: 
A,TRT,FLOW_NET,T,EL	: 	: 	: 	: 	13504927 	: 
A,TRT,FLOW_NET,T,ES	50365002 	50432917 	54665958 	47097486 	52540290 	44612482 
A,TRT,FLOW_NET,T,EU27_2020	651680000 	679310000 	691350000 	672070000 	700690000 	643950000 
A,TRT,FLOW_NET,T,FI	20081039 	21602480 	11067744 	10218406 	11288262 	10960129 
A,TRT,FLOW_NET,T,FR	84973016 	82376048 	84700112 	86348439 	90043448 	87374280 
A,TRT,FLOW_NET,T,HR	2776642 	2305358 	2810379 	3134683 	3312087 	3354427 
A,TRT,FLOW_NET,T,HU	10069112 	10722880 	10331850 	9553693 	10152253 	11683164 
A,TRT,FLOW_NET,T,IE	3839133 	3771631 	3659611 	3712069 s	4043542 	: 
A,TRT,FLOW_NET,T,IT	74761005 s	79045694 s	79272664 s	80309122 s	84412192 s	79536446 s
A,TRT,FLOW_NET,T,LT	2564529 	2157867 	2205055 	2308459 	2244954 	: 
A,TRT,FLOW_NET,T,LU	1868014 	1132036 	734956 	1285811 	1170934 	1145883 
A,TRT,FLOW_NET,T,LV	: 	: 	: 	: 	1363604 	1770892 
A,TRT,FLOW_NET,T,MT	316986 	319748 	326681 	422113 	403875 	399924 
A,TRT,FLOW_NET,T,NL	40440973 	41680674 	45135036 	45625900 	33442025 	44087983 
A,TRT,FLOW_NET,T,PL	64828107 	67737951 	78125133 	68235209 	70486988 	53118724 
A,TRT,FLOW_NET,T,PT	9895806 	9527155 	9833358 	8720769 	7515893 	7833813 
A,TRT,FLOW_NET,T,RO	21446877 d	22538877 d	19848602 d	19737618 d	19726412 d	17308291 d
A,TRT,FLOW_NET,T,SE	13881350 	14764452 	16254955 	17767296 	18100441 	: 
A,TRT,FLOW_NET,T,SI	2701548 	3156575 	2558701 	2322185 	2911939 	2725512 
A,TRT,FLOW_NET,T,SK	5287639 d	5573764 d	4958494 d	6470144 d	6932817 d	7219990 d
A,TRT,FLOW_NET,T,UK	85449799 	82250843 	79119605 	82757043 	: 	: 
A,TRT,IMP,T,AT	3413717 	3556088 	4228843 	4145863 	5154841 	3908905 
A,TRT,IMP,T,BE	10695547 	10875369 	11040441 	10317013 	9925847 	9346308 
A,TRT,IMP,T,BG	429595 	319828 	349418 	434140 	505777 	: 
A,TRT,IMP,T,CY	0 	9690 	11014 	75989 	118263 	170890 
A,TRT,IMP,T,CZ	940853 	1210665 	1435137 	1660239 	2410922 	2517374 
A,TRT,IMP,T,DE	15499344 s	16185257 s	16686530 s	15472226 s	16004803 s	14610806 s
A,TRT,IMP,T,DK	0 	811557 	1379329 	1090736 	944178 	1371053 
A,TRT,IMP,T,EE	79990 	320612 	227636 	153063 	: 	: 
A,TRT,IMP,T,EL	: 	: 	: 	: 	1176166 	: 
A,TRT,IMP,T,ES	8427528 	6762526 	7710261 	7096023 	7128153 	6433502 
A,TRT,IMP,T,EU27_2020	82580000 	78840000 	79520000 	81640000 	86080000 	81980000 
A,TRT,IMP,T,FI	1302469 	596824 	507109 	486350 	529502 	1504736 
A,TRT,IMP,T,FR	6172394 	6449733 	6146536 	5963928 	6418643 	6163008 
A,TRT,IMP,T,HR	211014 	0 	0 	333872 	486566 	743913 
A,TRT,IMP,T,HU	745961 	843845 	806145 	1023033 	917343 	1050097 
A,TRT,IMP,T,IE	531190 	390291 	543856 	594478 s	765691 	: 
A,TRT,IMP,T,IT	4900808 s	5679318 s	6150293 s	5695619 s	6850813 s	6421762 s
A,TRT,IMP,T,LT	333275 	438452 	432266 	382488 	668438 	: 
A,TRT,IMP,T,LU	3044711 	2919246 	2630828 	2787347 	2849375 	2679364 
A,TRT,IMP,T,LV	: 	: 	: 	: 	145880 	472890 
A,TRT,IMP,T,MT	0 	0 	0 	0 	0 	0 
A,TRT,IMP,T,NL	6262904 	7004076 	6713884 	6835875 	12690387 	9833347 
A,TRT,IMP,T,PL	1350550 	1648103 	2012982 	2353645 	2761558 	2555675 
A,TRT,IMP,T,PT	0 	0 	0 	0 	2657683 	2382808 
A,TRT,IMP,T,RO	0 d	0 d	0 d	0 d	667737 d	590143 d
A,TRT,IMP,T,SE	3037596 	3333884 	3077782 	3315731 	3315641 	: 
A,TRT,IMP,T,SI	1337712 	1362571 	1388644 	1406386 	1097665 	952521 
A,TRT,IMP,T,SK	0 d	0 d	0 d	0 d	597232 d	919925 d
A,TRT,IMP,T,UK	1632008 	1323559 	1429898 	1520756 	: 	: 
